,0,1,2,3,4,5,6,7,8,9
1513,47,40,50,45,29,46,13,6,61,11
1518,34,36,44,13,61,9,30,59,53,26
1524,20,60,6,57,2,26,13,27,21,23
1542,49,48,34,14,59,47,0,0,0,0
1570,10,45,20,4,29,12,44,21,3,19
1600,26,4,39,51,15,21,60,30,40,46
1618,38,47,61,31,35,48,26,56,27,22
1627,34,25,33,54,17,45,38,53,0,0
1628,35,51,33,38,13,28,41,49,22,37
1743,31,55,54,59,56,15,6,52,51,14
1802,3,6,45,33,28,26,7,59,35,8
1826,55,48,9,14,37,39,19,57,59,50
1867,13,53,30,17,25,6,22,2,51,28
1911,56,48,27,14,28,41,31,8,43,36
1927,41,44,61,33,46,13,38,39,43,34
1945,35,16,46,40,5,20,41,47,54,14
1951,3,41,7,27,37,8,30,44,43,24
1958,14,51,2,49,1,4,7,15,39,17
1992,5,56,6,61,7,41,33,12,49,48
2004,29,34,16,31,14,53,58,13,20,56
2008,50,12,33,39,14,52,24,32,47,56
2021,31,55,3,57,38,56,47,27,44,34
2134,25,18,58,61,42,16,3,49,57,40
2162,44,13,24,57,39,55,51,12,60,15
2276,46,42,16,29,55,53,30,41,24,39
2295,55,29,60,47,53,46,24,16,18,0
2304,38,46,54,22,26,43,13,23,55,61
2320,38,16,36,39,61,42,51,49,48,52
2324,8,3,61,11,5,45,31,12,13,50
2345,42,10,18,13,49,4,61,38,47,48
2350,19,25,34,41,10,37,43,18,51,36
2406,31,3,46,6,23,41,22,52,59,2
2408,27,14,35,47,45,42,46,36,20,13
2410,33,14,45,57,49,50,6,25,5,32
2415,47,31,46,17,34,29,52,56,32,57
2426,25,38,58,59,6,24,13,36,30,39
2429,55,26,59,13,49,53,54,31,33,14
2453,34,55,40,45,58,49,60,1,8,0
2493,27,24,61,53,14,60,50,19,17,37
2495,52,53,21,46,23,47,8,35,32,58
2535,22,16,15,45,37,47,34,4,8,10
2552,25,38,32,1,14,37,35,42,22,24
2570,42,14,33,37,16,57,8,43,22,7
2579,24,10,33,38,55,59,61,12,25,18
2591,23,40,54,17,52,5,1,55,24,7
2607,39,18,54,62,42,5,1,48,53,56
2631,55,46,43,20,36,30,6,29,12,22
2632,39,6,28,24,48,32,21,43,53,17
2666,3,60,27,42,53,30,52,51,54,45
2669,31,36,41,52,9,48,54,6,53,17
2674,12,50,56,38,15,7,29,44,42,13
2683,60,31,42,20,37,3,38,15,43,1
2698,10,22,2,59,53,1,12,23,21,31
2730,54,22,6,44,60,20,40,31,37,35
2736,55,40,42,24,5,43,21,31,7,0
2782,5,54,51,39,35,37,21,20,42,14
2793,20,59,41,22,43,21,50,58,31,24
2797,54,38,6,2,20,11,10,9,31,51
2807,41,21,35,10,12,38,58,22,28,17
2829,53,5,14,45,34,22,16,54,39,2
2831,11,45,5,37,10,39,23,14,54,18
2849,22,50,33,52,17,23,34,19,38,3
2870,28,14,11,59,44,38,5,33,3,25
2875,22,2,38,17,62,20,3,59,47,23
2877,42,46,54,26,59,37,38,20,41,56
2882,10,27,7,37,34,32,28,24,33,8
2891,1,30,42,27,3,41,58,24,4,44
2931,27,53,24,30,42,26,19,20,13,0
2937,38,58,4,45,6,17,11,53,32,0
2942,36,30,2,49,38,43,57,13,14,22
2968,10,55,41,4,25,2,47,1,39,32
3056,27,54,62,11,35,1,36,26,58,19
3076,54,27,9,3,60,31,28,33,40,5
3091,58,10,2,14,31,7,25,59,19,47
3136,22,17,25,49,33,24,16,4,45,34
3170,17,26,24,22,16,48,15,30,8,61
3197,46,21,42,54,60,14,56,2,32,4
3254,8,26,30,52,44,12,9,45,34,48
3267,61,31,27,24,46,54,28,32,33,6
3321,9,2,61,33,30,55,11,10,62,45
3336,8,61,37,24,59,26,28,15,3,6
3421,40,13,54,47,20,37,60,43,15,12
3427,51,24,45,9,47,4,14,26,31,21
3433,59,42,26,38,33,46,39,7,57,12
3445,1,38,16,34,61,6,52,5,31,50
3463,47,10,62,30,55,45,60,52,27,4
3478,28,39,58,8,45,55,11,62,24,19
3491,38,15,6,10,35,53,47,17,56,9
3498,58,37,25,54,36,48,57,11,62,0
3523,5,51,13,57,17,32,6,56,60,15
3535,53,27,58,61,36,1,46,44,28,57
3594,10,25,38,6,8,49,52,12,24,11
3595,34,47,1,41,6,31,33,43,7,45
3598,4,48,25,15,3,12,62,57,13,26
3635,38,37,58,51,41,43,3,32,24,56
3673,12,14,29,11,55,10,59,37,48,19
3678,40,27,57,39,11,59,47,4,7,8
3717,16,27,58,36,21,1,10,25,23,15
3732,39,13,53,55,40,1,2,60,22,14
3767,34,3,56,11,35,17,58,45,24,29
3799,5,55,6,28,15,29,22,36,21,26
3807,13,51,33,54,10,60,55,7,25,43
3828,8,37,12,27,59,35,7,52,51,50
3830,4,55,40,20,41,24,34,39,36,10
3834,12,60,9,4,34,35,55,23,8,22
3852,58,22,27,54,16,47,49,15,19,11
3856,9,36,20,43,41,8,47,52,31,15
3859,39,42,8,38,27,11,13,61,16,59
3867,17,1,44,59,58,21,18,33,29,13
3870,30,42,37,28,32,61,62,50,13,18
3900,53,22,55,49,19,47,1,23,20,14
3916,22,27,51,48,38,54,26,36,57,14
3933,35,43,50,49,31,20,46,55,39,16
3934,18,12,29,14,53,50,30,2,1,46
3945,14,33,31,35,12,45,8,62,49,0
3967,56,42,44,16,20,21,61,5,46,49
4001,55,47,21,43,10,17,29,49,24,11
4002,58,9,60,41,24,11,25,37,27,62
4047,33,32,50,37,40,14,5,7,21,18
4058,10,14,16,15,43,49,52,36,7,55
4065,59,48,28,31,2,41,62,49,15,30
4084,35,30,11,5,20,42,31,13,50,51
4107,10,55,31,42,40,5,44,13,59,48
4122,39,11,48,59,30,43,19,55,9,4
4128,45,40,18,36,39,19,56,8,55,20
4137,5,16,1,53,42,62,47,19,37,54
4138,20,39,53,25,43,21,3,38,8,52
4141,25,34,49,13,30,23,29,8,15,2
4286,14,1,48,52,5,57,16,50,17,28
4320,30,36,60,48,40,12,14,8,31,58
4324,12,43,41,7,24,45,27,19,0,0
4339,16,55,11,41,45,56,14,59,49,8
4390,27,5,34,24,40,41,23,16,6,37
4391,48,25,54,41,20,17,55,51,7,9
4399,33,61,46,6,21,62,39,24,3,58
4405,40,1,27,52,29,59,46,8,28,37
4426,46,40,20,56,36,59,48,38,10,17
4440,34,46,50,10,48,35,5,56,57,31
4452,59,25,9,30,4,46,26,42,16,51
4477,10,38,44,46,28,62,31,40,57,49
4478,38,39,42,6,52,46,18,35,30,37
4480,34,55,39,16,38,37,33,54,62,12
4508,46,3,10,1,12,59,5,35,21,52
4518,27,1,46,13,60,55,61,26,52,45
4599,39,29,27,47,51,52,34,20,21,42
4603,11,39,29,10,25,42,51,18,5,59
4607,6,1,15,9,19,58,46,0,0,0
4608,7,53,59,25,37,39,56,58,42,43
4609,61,5,10,16,54,21,49,36,32,12
4640,30,11,41,57,52,37,22,38,60,36
4646,21,15,48,31,44,29,51,49,22,2
4656,35,51,15,49,2,52,30,22,33,5
4679,39,45,16,41,56,21,4,40,37,14
4690,27,58,11,9,1,45,32,14,59,2
4741,35,6,37,5,30,29,50,44,10,12
4743,9,43,36,57,3,45,8,24,25,33
4749,23,22,8,49,53,27,12,37,17,18
4767,35,23,2,20,38,46,10,50,24,16
4769,28,2,61,3,37,33,48,6,23,43
4785,35,50,58,13,49,55,29,44,20,59
4786,38,8,2,9,21,55,20,17,58,0
4790,25,52,40,32,36,7,39,8,49,2
4843,13,36,9,30,48,6,5,59,8,57
4944,10,60,11,49,1,44,7,20,48,53
4990,30,11,57,5,38,44,8,9,23,22
4998,10,2,7,51,36,24,6,49,42,3
5011,36,10,4,20,55,38,54,40,37,43
5057,34,61,5,27,36,58,9,8,54,17
5077,34,39,16,20,5,21,30,14,4,29
5084,61,28,46,16,7,15,60,56,23,11
5092,1,9,35,30,61,8,12,52,10,51
5114,38,6,16,39,54,5,20,42,51,34
5121,19,53,21,41,10,39,1,30,54,60
5136,41,27,48,9,5,31,57,13,21,37
5177,45,28,5,58,4,31,11,49,26,56
5185,58,34,11,29,53,25,39,32,55,49
5186,37,51,46,2,45,7,5,22,25,61
5207,11,43,54,49,13,53,20,45,19,61
5209,60,39,5,20,14,56,43,6,9,33
5221,18,54,12,61,22,23,59,11,51,4
5272,18,13,40,11,57,33,23,50,30,43
5278,5,50,14,59,6,57,28,30,0,0
5332,5,24,46,10,38,52,1,15,51,6
5370,14,9,49,10,50,12,51,58,36,34
5407,49,15,5,52,3,34,16,57,55,4
5430,5,46,19,41,4,53,38,45,54,23
5512,13,28,49,19,12,26,55,47,44,3
5519,7,39,50,41,46,52,47,3,48,25
5529,27,16,14,57,13,40,18,35,23,54
5543,40,39,36,22,43,47,17,8,50,53
5545,46,30,5,39,50,19,15,26,28,18
5562,36,28,5,48,10,33,3,50,47,54
5589,14,46,62,29,26,48,28,16,49,11
5596,33,34,16,5,45,57,50,2,36,42
5602,34,59,53,21,37,42,16,3,20,51
5626,34,24,20,27,53,29,61,46,59,35
5631,33,46,3,34,41,2,1,25,48,15
5644,8,42,20,62,56,55,5,43,24,25
5675,2,56,3,61,17,55,33,8,21,34
5718,29,40,4,13,47,38,11,52,19,15
5782,58,32,17,5,3,60,59,34,20,55
5794,41,36,3,34,42,20,40,46,30,23
5798,13,30,7,20,47,22,18,4,8,59
5832,9,15,16,4,55,41,62,50,36,18
5837,58,34,50,3,27,24,18,32,11,9
5841,34,54,21,20,22,14,49,55,44,39
5847,13,44,23,50,42,39,18,49,53,55
5863,51,27,29,36,22,5,45,26,52,32
5872,27,14,44,45,48,15,55,52,33,9
5896,1,42,9,53,36,46,18,44,2,45
5935,14,11,24,4,13,21,42,35,37,23
6001,56,15,40,2,36,37,30,18,55,1
6055,52,4,6,48,34,15,17,32,26,2
6071,33,10,53,30,15,12,1,58,52,18
6097,34,9,38,22,58,32,12,23,0,0
6142,59,17,61,50,38,12,19,2,60,30
6173,29,17,45,6,7,2,19,48,39,16
6181,50,58,13,38,40,28,19,25,32,34
6200,38,6,40,32,61,8,31,56,59,62
6202,57,7,29,38,33,44,41,47,54,58
6218,44,57,55,21,5,4,6,49,25,59
6233,22,8,51,28,62,19,1,60,39,0
6245,16,6,42,36,17,40,54,51,15,14
6250,10,29,34,61,4,40,19,31,55,36
6257,15,48,37,52,23,39,7,26,58,13
6261,17,1,27,32,19,4,3,59,23,25
6281,31,55,15,26,52,19,0,0,0,0
6283,1,48,36,12,59,16,42,29,18,26
6295,31,52,35,34,53,45,3,11,28,60
6299,29,30,2,48,10,52,42,27,32,31
6312,61,29,26,46,49,16,54,41,6,56
6406,55,1,48,18,40,32,61,13,23,14
6428,27,59,43,49,12,24,51,60,1,18
6445,24,42,18,49,47,20,13,54,53,50
6457,49,38,14,6,18,51,33,32,10,8
6461,44,39,3,21,58,55,54,11,60,1
6497,14,46,9,1,35,33,6,18,16,26
6518,57,56,36,58,61,28,47,41,55,22
6521,5,55,34,57,45,44,53,13,14,15
6544,38,39,1,9,6,28,62,24,53,21
6575,39,37,49,31,53,21,15,50,60,46
6583,56,45,30,32,38,55,23,31,39,7
6605,46,39,32,10,6,21,47,33,50,3
6613,50,42,27,21,36,29,37,1,18,23
6637,38,53,1,30,27,15,40,4,9,55
6653,41,1,16,24,6,49,40,59,35,43
6694,40,20,42,32,62,52,36,31,59,41
6715,24,43,6,7,2,46,15,26,1,0
6720,27,59,47,26,62,25,35,11,39,48
6721,60,39,23,17,58,47,30,55,9,52
6722,41,31,57,44,33,19,9,4,47,11
6815,38,27,56,54,58,25,31,20,46,16
6872,41,13,44,18,9,42,14,60,19,38
6887,40,32,35,11,38,3,17,37,25,50
6892,22,47,38,10,42,28,5,13,15,24
6912,29,1,39,9,35,45,40,54,26,32
6931,29,27,41,52,31,21,11,1,54,35
6935,6,24,49,39,22,40,5,1,35,61
6991,6,29,35,60,26,11,20,51,49,48
6999,10,42,27,59,62,7,4,57,1,43
7000,37,6,57,26,1,62,13,50,39,7
7005,25,30,9,5,42,57,45,59,61,0
7010,23,59,30,42,44,34,40,46,60,32
7059,20,33,40,60,55,19,36,31,13,32
7072,27,34,18,62,48,60,58,61,36,2
7094,24,4,55,14,61,25,49,18,5,50
7119,41,39,42,2,18,21,6,28,57,25
7129,39,21,53,9,33,22,44,59,29,48
7143,22,47,19,43,16,39,5,58,42,21
7165,19,60,56,30,10,5,7,48,32,36
7187,41,50,34,38,49,40,58,31,47,4
7215,45,31,35,62,48,61,10,56,39,50
7230,59,6,13,48,36,46,21,55,12,40
7247,44,38,41,6,10,43,60,29,9,39
7250,33,39,42,48,13,21,28,29,27,35
7300,33,34,59,40,54,49,25,1,21,50
7321,27,28,60,47,2,44,18,0,0,0
7342,9,2,45,6,37,7,60,51,44,57
7348,19,29,49,26,36,44,35,48,17,24
7375,39,30,48,51,54,46,58,18,44,22
7378,38,57,14,28,2,6,58,25,0,0
7397,6,48,18,57,52,29,50,13,59,15
7428,39,45,22,51,6,44,55,4,18,37
7446,41,34,50,18,13,25,12,19,27,8
7488,19,34,10,50,49,18,22,9,5,2
7500,54,27,12,1,24,43,23,34,3,11
7610,1,57,33,46,4,53,11,19,21,54
7631,41,27,48,39,32,22,15,20,21,35
7646,34,18,51,40,14,59,52,35,44,0
7683,31,38,44,13,60,58,1,29,27,20
7706,2,53,62,30,57,38,20,29,40,33
7712,55,2,19,23,33,36,39,34,7,43
7718,48,19,45,18,34,43,50,59,22,0
7732,56,7,13,48,24,40,21,4,18,11
7734,25,21,14,16,10,42,62,23,4,54
7755,9,45,48,33,10,56,29,59,22,4
7787,34,5,56,30,39,37,20,3,23,8
7793,38,51,30,26,12,41,27,62,55,7
7801,10,59,9,7,22,15,18,4,36,32
7822,52,5,55,60,20,35,41,33,47,43
7849,25,3,46,32,62,42,20,4,33,50
7851,4,25,2,5,28,13,8,48,24,59
7881,14,62,38,29,11,39,55,42,51,23
7938,3,4,55,25,21,51,40,46,13,20
7966,16,4,15,13,61,37,36,38,22,59
7987,30,52,34,6,43,8,2,47,38,4
8041,36,53,50,24,30,58,45,31,9,55
8091,50,52,44,57,49,55,53,24,7,33
8093,41,18,1,42,31,35,40,5,33,8
8132,44,29,8,9,27,1,38,19,61,50
8148,56,18,34,46,28,42,60,7,57,17
8210,27,30,23,40,25,8,53,17,58,60
8233,21,52,7,40,3,27,56,41,11,33
8235,1,36,4,3,27,52,34,17,37,55
8268,27,42,3,21,59,62,58,40,7,54
8370,36,13,3,15,42,59,57,35,28,4
8375,4,20,36,25,56,8,47,39,17,28
8402,33,49,59,41,34,52,8,37,26,1
8432,60,23,24,12,34,28,41,20,27,35
8439,60,20,3,58,2,18,61,30,36,43
8486,51,40,5,60,2,22,23,13,56,30
8534,31,55,24,38,44,51,58,14,59,56
8560,58,55,47,53,3,6,60,12,20,15
8581,42,14,5,33,15,10,35,29,34,56
8602,55,27,31,44,53,28,12,46,59,54
8614,54,16,15,26,30,14,1,3,7,0
8624,20,19,47,52,36,31,21,22,57,46
8727,1,41,45,56,48,31,49,13,35,61
8780,55,15,57,47,30,18,43,19,4,58
8783,35,34,54,43,57,55,4,19,59,8
8786,58,25,8,27,15,54,56,34,21,51
8800,5,21,25,9,55,34,54,28,41,39
8805,33,35,27,43,3,2,40,54,57,23
8825,43,47,48,60,8,26,15,40,1,0
8852,9,62,16,54,26,61,48,15,21,51
8858,28,37,56,33,41,31,43,61,54,1
8897,42,56,27,36,3,60,50,46,54,22
8911,57,27,56,35,25,44,45,16,41,33
8925,20,47,31,9,44,6,28,59,24,54
8939,49,45,59,56,9,15,57,7,31,50
8952,9,16,21,29,61,3,47,34,22,8
8957,45,3,11,36,13,38,50,10,16,61
8969,39,11,53,15,23,25,29,58,61,8
8970,37,23,13,35,21,47,54,56,22,12
8996,17,62,14,32,47,46,48,12,36,55
9094,45,34,50,48,18,44,49,47,5,35
9153,17,29,31,1,21,8,52,56,58,23
9166,39,41,15,59,45,3,43,21,36,37
9167,38,29,6,47,40,48,10,4,22,8
9204,7,44,46,3,56,11,28,45,50,43
9206,18,36,41,52,22,25,24,48,0,0
9215,44,34,30,31,9,1,3,4,43,11
9240,27,5,31,8,56,48,44,19,47,13
9256,9,22,61,46,44,1,11,2,60,35
9274,10,41,60,42,61,47,2,13,55,57
9284,16,58,62,36,15,10,25,7,9,27
9286,3,45,12,21,35,39,44,58,40,62
9308,4,13,46,44,61,1,14,52,54,19
9323,61,31,33,22,38,29,17,46,24,50
9336,35,27,13,53,14,22,40,24,37,2
9349,25,55,33,37,39,57,58,52,30,24
9353,36,12,51,48,20,34,7,4,2,35
9362,37,59,53,32,21,40,14,12,15,19
9369,58,55,14,19,47,37,34,2,61,36
9370,59,16,17,35,28,1,25,43,37,51
9381,17,40,14,52,56,59,23,50,24,39
9384,6,62,26,10,32,20,58,46,48,8
9426,5,35,4,30,19,48,25,60,57,11
9449,61,59,41,44,34,55,15,4,31,21
9477,57,28,56,61,24,36,55,21,62,6
9483,6,53,38,26,9,55,61,32,42,0
9495,3,9,7,12,29,27,2,28,61,24
9500,53,5,7,36,32,50,2,61,54,22
9516,37,1,24,55,49,35,50,59,60,52
9589,54,33,5,55,26,7,15,0,0,0
9596,26,36,46,61,15,27,56,52,62,39
9597,24,41,47,57,9,49,25,53,18,58
9624,11,56,24,37,36,44,29,22,30,46
9687,28,43,62,54,16,11,57,12,55,20
9697,17,2,1,10,42,4,52,29,33,46
9699,53,51,24,28,59,6,45,14,3,4
9710,23,34,17,28,31,61,59,48,53,12
9723,53,30,59,22,11,26,39,49,58,46
9729,20,7,37,61,33,27,16,59,57,58
9780,52,13,49,19,37,26,21,53,32,35
9805,42,32,62,2,55,45,24,37,0,0
9847,15,16,38,20,58,36,60,4,28,1
9888,33,17,61,44,48,35,26,37,12,18
9904,36,8,26,45,34,14,44,30,52,27
9930,61,56,55,17,2,53,47,29,26,18
9940,4,39,61,13,37,30,51,9,60,23
9949,16,49,33,5,15,22,51,29,48,47
9958,54,23,52,37,9,41,51,18,24,12
9971,61,39,36,26,33,24,11,59,8,14
9973,54,58,29,10,2,44,25,26,21,17
9977,9,38,61,44,40,31,46,33,10,30
9984,6,9,35,12,17,8,1,32,7,46
9988,45,11,5,54,9,44,8,18,41,48
9999,19,2,49,6,57,20,59,23,25,26
10037,46,28,52,38,42,27,40,41,62,3
10057,56,3,46,18,15,8,0,0,0,0
10061,48,36,59,50,2,19,4,13,40,22
10089,2,14,39,29,53,21,41,11,24,33
10091,39,20,61,33,50,37,5,34,1,26
10099,8,18,58,42,19,21,12,59,60,23
10127,51,38,48,56,53,3,13,25,21,36
10128,38,6,51,7,36,5,29,22,0,0
10142,18,58,25,33,56,7,51,30,53,50
10144,2,27,60,3,24,51,55,31,14,26
10151,45,17,16,3,48,32,42,29,2,30
10159,34,32,23,47,22,38,27,60,5,52
10177,16,29,31,3,20,28,44,26,54,60
10196,29,50,58,4,41,55,3,6,7,19
10245,21,54,19,10,46,41,2,35,5,29
10286,19,20,47,34,42,58,39,56,46,60
10299,54,57,34,37,27,52,5,45,49,25
10307,6,47,54,21,59,35,34,43,9,32
10343,22,40,47,54,41,33,38,6,24,62
10379,40,48,28,45,35,2,15,33,39,19
10394,62,40,28,26,18,52,48,59,42,32
10413,46,48,27,52,21,13,26,6,14,20
10446,21,57,10,24,25,62,17,47,7,52
10478,9,59,48,13,43,35,45,61,14,0
10486,31,21,38,42,10,33,5,12,32,22
10507,41,1,52,2,22,60,36,53,46,17
10524,54,42,48,18,35,9,30,36,40,21
10530,42,25,1,41,34,57,53,36,30,10
10548,30,37,11,13,4,32,8,56,21,20
10562,60,55,53,45,20,28,18,36,11,21
10581,61,60,18,42,17,59,24,9,23,16
10582,7,42,32,16,6,1,57,18,39,5
10584,41,14,25,29,16,11,43,8,18,0
10660,62,31,10,25,34,6,52,35,38,8
10664,29,3,20,54,51,27,60,47,6,0
10669,33,37,42,48,3,41,61,56,28,6
10676,55,57,26,29,58,21,54,19,32,62
10678,54,15,18,46,4,40,16,22,61,32
10704,13,51,38,17,49,32,7,4,12,54
10711,28,33,14,26,43,6,62,11,24,25
10722,33,58,51,60,49,14,55,57,19,27
10742,59,29,55,31,41,11,39,26,15,7
10766,7,58,29,14,34,28,19,47,60,17
10770,6,61,15,24,7,18,30,39,35,23
10832,39,44,33,13,47,11,56,15,16,30
10846,9,16,36,11,20,29,35,41,46,10
10858,16,5,6,61,56,52,7,27,4,0
10870,3,39,1,28,57,20,19,51,46,15
10882,17,31,32,61,45,62,57,58,38,9
10888,52,46,37,49,10,5,48,60,58,53
10906,52,14,33,3,40,41,55,58,10,1
10925,6,19,37,55,56,36,23,31,26,32
10928,13,60,54,53,58,14,9,12,44,18
10968,54,39,55,38,4,1,8,48,40,17
10972,39,54,22,48,9,51,53,29,61,4
10981,10,30,26,14,59,49,62,43,2,47
10983,56,38,61,57,62,15,8,48,11,32
10991,43,45,5,17,2,29,62,18,8,24
10992,29,26,51,2,46,27,5,55,1,11
11013,20,29,33,4,39,38,56,0,0,0
11051,5,44,17,32,3,54,55,56,51,23
11056,12,44,24,30,45,53,20,48,58,0
11074,38,10,21,52,6,60,62,58,44,53
11101,28,17,4,1,25,52,33,14,29,46
11133,13,28,1,36,46,51,38,3,54,52
11171,51,52,15,45,57,38,46,25,26,4
11176,2,47,45,28,25,37,35,41,36,17
